Brand,Name,Model Name,Price,Offer Price
Polo Ralph Lauren,PH4167,PH4167,$155.00,
Versace,VE4361 Biggie,VE4361 Biggie,$345.00,
Arnette,AN4264 CLAYFACE,AN4264 CLAYFACE,$94.00,$47.00
Versace,VE4406,VE4406,$290.00,
Versace,VE4369,VE4369,$317.00,$221.90
Prada Linea Rossa,PS 08US ACTIVE,PS 08US ACTIVE,$343.00,$171.50
Prada Linea Rossa,PS 01XS,PS 01XS,$316.00,$286.00
Prada,PR 52YS,PR 52YS,$377.00,
Armani Exchange,AX4115SU,AX4115SU,$91.00,$63.70
Dolce&Gabbana,DG6147,DG6147,$312.00,$156.00
Gucci,GG0010S,GG0010S,$405.00,
Ray-Ban,RB2132 New Wayfarer Classic,RB2132 New Wayfarer Classic,$201.00,$151.00
Oakley,OO9208 Radar® EV Path® Heritage Colors Collection,OO9208 Radar® EV Path® Heritage Colors Collection,$211.00,$147.70
Versace,VE4391,VE4391,$345.00,
Ray-Ban,RB3625 New Aviator,RB3625 New Aviator,$163.00,
Oakley,OO9406 Sutro,OO9406 Sutro,$173.00,
Dolce&Gabbana,DG4388,DG4388,$317.00,
Costa,6S9024 Cat Cay,6S9024 Cat Cay,$171.00,
Burberry,BE4181,BE4181,$281.00,
Ray-Ban,RB2180,RB2180,$151.00,
Versace,VE2150Q,VE2150Q,$331.00,
Oakley,OO9154 Half Jacket® 2.0 XL,OO9154 Half Jacket® 2.0 XL,$201.00,$171.00
Burberry,BE4358 KNIGHT,BE4358 KNIGHT,$304.00,$274.00
Versace,VE2242,VE2242,$395.00,$365.00
Oakley,OO4147 Contrail,OO4147 Contrail,$250.00,$220.00
Prada,PR 19WS,PR 19WS,$433.00,
Oakley,OO9417 Holbrook™ XL,OO9417 Holbrook™ XL,$212.00,$182.00
Gucci,GG0009S,GG0009S,$435.00,$217.50
Versace,VE4307,VE4307,$276.00,$193.20
Ray-Ban,RB2298 Hawkeye,RB2298 Hawkeye,$224.00,$174.00
Ray-Ban,RB3025 Aviator Gradient,RB3025 Aviator Gradient,$178.00,
Ray-Ban,RB4416 New Clubmaster,RB4416 New Clubmaster,$213.00,$163.00
Oakley,OO9448 Sylas,OO9448 Sylas,$140.00,
Gucci,GG0381SN,GG0381SN,$480.00,$450.00
Oakley,OO9100 Leffingwell,OO9100 Leffingwell,$162.00,
Ray-Ban,RB2283 Burbank,RB2283 Burbank,$189.00,
Prada Linea Rossa,PS 52VS,PS 52VS,$327.00,$163.50
Gucci,GG0341S,GG0341S,$495.00,$465.00
Ray-Ban,RB3558,RB3558,$163.00,
Ray-Ban,RB4175 Clubmaster Oversized,RB4175 Clubmaster Oversized,$163.00,
Costa,6S9018 Rincon,6S9018 Rincon,$213.00,
Versace,VE2140,VE2140,$262.00,
Oakley,OO9465 Sutro Lite Sweep,OO9465 Sutro Lite Sweep,$184.00,
Versace,VE2236,VE2236,$317.00,
Versace,VE4403,VE4403,$345.00,
Ray-Ban,RB3539 Erika Metal,RB3539 Erika Metal,$175.00,$145.00
Ray-Ban,RB3136 Caravan,RB3136 Caravan,$163.00,
Ray-Ban,RB4125 Cats 5000 Classic,RB4125 Cats 5000 Classic,$178.00,
Ray-Ban,RB2140 Original Wayfarer Colorblock,RB2140 Original Wayfarer Colorblock,$173.00,
Burberry,BE4337 Carnaby,BE4337 Carnaby,$254.00,
